id,objective,T,n_players,L,U,x_prev_mask,masks,avg_profit,avg_W
dfe9bfde-a38c-4cb8-95f0-08179ef647aa,3.015659286575369,3,15,11,12,24570,"31470,31470,31469",39914630.10603119,32.88086244077453
f33d380d-7e8b-4767-a9a4-1b5f28ea5316,2.8931646484291553,3,15,11,12,20477,"31482,29689,31451",33059598.49162835,27.355118708191792
766bb15d-2250-4321-8317-67362adfbe80,3.298082570350126,3,15,11,12,29694,"27637,27613,27613",39694543.057731174,33.85800586572842
3e88087e-da68-4739-b960-d45480fe8416,3.2935559863716475,3,15,11,12,16359,"22269,22269,22269",37949660.369627684,32.64940373490969
5059de6d-025c-4d40-84a8-58c1fd942aa0,3.021864861999001,3,15,11,12,31230,"31987,31987,31987",39947967.70108894,31.798108213756326
857bf813-70f8-43de-9974-fa7d0f609c31,3.069150316332418,3,15,11,12,16350,"8111,22447,22447",37379104.466106474,31.023836911618957
0c87d51c-8f72-4490-ba61-8bc237a663db,3.440209061061905,3,15,11,12,32063,"31567,31567,31183",40173992.8051196,32.991897898330656
dfd4470b-3b4c-49f9-9c3a-d21344f18109,3.1209397687743934,3,15,11,12,32125,"15799,15799,15799",36754875.56138936,30.372205699292724
86134ad6-fad8-4bf6-94e7-f05589c9145b,3.2094783681488748,3,15,11,12,16223,"16370,15353,16369",34857874.90617978,31.78394972391206
a5aaa23b-f824-412d-8c79-f8f0aaae75df,3.0047316879187935,3,15,11,12,31677,"24310,24310,24310",36792693.30742763,31.062988226112406
